question_id,sport,category,question,baseline_answer,rag_answer,retrieved_chunks,relevance_baseline,relevance_rag,groundedness_baseline,groundedness_rag,specificity_baseline,specificity_rag,structure_baseline,structure_rag,safety_baseline,safety_rag,notes
Q01,Soccer,Training,What are effective interval training methods for a beginner soccer player?,TO BE FILLED - Run app with baseline mode,TO BE FILLED - Run app with RAG mode,soccer_training_fifa / soccer_training_uefa,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q02,Soccer,Nutrition,How many carbohydrates should a 70 kg soccer player consume on a match day?,TO BE FILLED,TO BE FILLED,soccer_nutrition_fmarc / soccer_nutrition_issn,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q03,Tennis,Training,What are the key fitness components needed for intermediate tennis players?,TO BE FILLED,TO BE FILLED,tennis_training_itf / tennis_training_usta,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q04,Tennis,Recovery,What recovery strategies are recommended after a 2-hour tennis match?,TO BE FILLED,TO BE FILLED,tennis_recovery_jss / tennis_recovery_itf,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q05,Basketball,Training,What strength and conditioning drills are best for beginner basketball players?,TO BE FILLED,TO BE FILLED,basketball_training_fiba / basketball_training_nba,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q06,Basketball,Nutrition,What hydration strategies should a basketball player follow during a game?,TO BE FILLED,TO BE FILLED,basketball_nutrition_acsm / basketball_nutrition_jissn,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q07,Strength Training,Training,What is a beginner-friendly progressive overload schedule for strength training?,TO BE FILLED,TO BE FILLED,strength_training_nsca / strength_training_acsm,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q08,Strength Training,Nutrition,How much protein does a 75 kg strength training athlete need per day?,TO BE FILLED,TO BE FILLED,strength_nutrition_issn / strength_nutrition_nih,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q09,Soccer,Recovery,What are evidence-based sleep and recovery strategies for soccer players?,TO BE FILLED,TO BE FILLED,soccer_recovery_acsm / soccer_recovery_hydration,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
Q10,Strength Training,Recovery,What are the best rest and recovery practices between strength training sessions?,TO BE FILLED,TO BE FILLED,strength_recovery_nsca / strength_recovery_jscr,0,0,0,0,0,0,0,0,0,0,Fill after running evaluation
