chunk_id,source_id,sport,category,title,organization,text
C0001,S01,Soccer,Training,FIFA Training Principles for Youth and Amateur Football,FIFA,"SOURCE: FIFA Training Principles for Youth and Amateur Football (2023) ORGANIZATION: FIFA - Fédération Internationale de Football Association CATEGORY: Soccer - Training ------------------------------------------------------------ OVERVIEW FIFA's training guidelines emphasize that soccer training for beginner to intermediate players should be built around a balance of technical skill development, physical conditioning, and tactical awareness. Training should be progressive, meaning load and intensity increase gradually over weeks and months. TRAINING PRINCIPLES 1. Frequency: Beginner players should train 2–3 sessions per week. Intermediate players can increase to 4–5 sessions, including one match. 2. Duration: Sessions should last 60–90 minutes. Youth and beginner sessions should be shorter (45–60 minutes). 3. Intensity: Training should include low, moderate, and high-intensity phases. FIFA recommends using small-sided games (SSGs) as a high-intensity training tool that also builds decision-making. 4. Recovery: At least one full rest day should follow high-intensity sessions. PHYSICAL DEVELOPMENT COMPONENTS - Aerobic capacity: Build endurance through interval"
C0002,S01,Soccer,Training,FIFA Training Principles for Youth and Amateur Football,FIFA,"a high-intensity training tool that also builds decision-making. 4. Recovery: At least one full rest day should follow high-intensity sessions. PHYSICAL DEVELOPMENT COMPONENTS - Aerobic capacity: Build endurance through interval runs and continuous running. Beginners should target 70–80% max heart rate during conditioning blocks. - Speed and agility: Include 5–10 meters of acceleration drills, direction changes, and reactive agility. - Strength: Basic lower-body strength (squats, lunges) improves kicking power and injury prevention. - Flexibility and mobility: Dynamic warm-ups and static cool-down stretching after every session. SMALL-SIDED GAMES (SSG) APPROACH SSGs (e.g., 3v3, 4v4, 5v5) are recommended for all player levels because they: - Increase touches on the ball - Develop tactical decision-making under pressure - Naturally create high-intensity intervals followed by rest - Are more engaging than isolated running drills PERIODIZATION FOR AMATEUR PLAYERS - Pre-season: Focus on aerobic base, technical skills - In-season: Maintain fitness, refine tactics - Post-season:"
C0003,S01,Soccer,Training,FIFA Training Principles for Youth and Amateur Football,FIFA,"by rest - Are more engaging than isolated running drills PERIODIZATION FOR AMATEUR PLAYERS - Pre-season: Focus on aerobic base, technical skills - In-season: Maintain fitness, refine tactics - Post-season: Active recovery, reduce load by 50% SAMPLE WEEKLY PLAN (Intermediate, 4 training days) - Monday: Technical drill session (60 min) - Tuesday: Aerobic interval run + strength (75 min) - Wednesday: Rest - Thursday: Small-sided games (75 min) - Saturday: Match day - Sunday: Rest or light recovery walk INJURY PREVENTION FIFA's 11+ warm-up program is recommended before every session for players aged 14+. It includes running, strength, and balance exercises, and has been shown to reduce injury rates by 30–50%. KEY TAKEAWAYS FOR ATHLETES - Progress training load gradually - Prioritize technical skill and game intelligence alongside fitness - Never skip warm-up and cool-down - Rest is part of the training process, not a weakness"
C0004,S01,Soccer,Training,FIFA Training Principles for Youth and Amateur Football,FIFA,"- Prioritize technical skill and game intelligence alongside fitness - Never skip warm-up and cool-down - Rest is part of the training process, not a weakness"
C0005,S02,Soccer,Training,UEFA Football Performance Program - Conditioning Guidelines,UEFA,"SOURCE: UEFA Football Performance Program - Conditioning Guidelines (2022) ORGANIZATION: Union of European Football Associations (UEFA) CATEGORY: Soccer - Training ------------------------------------------------------------ OVERVIEW UEFA's coaching and performance program establishes conditioning benchmarks and training structures for amateur and club-level football players. The program emphasizes integrated training — combining physical, technical, and mental components rather than training them in isolation. PHYSICAL PERFORMANCE BENCHMARKS (Amateur/Intermediate Level) - A mid-level amateur player covers 8–10 km per match - High-intensity runs account for 1–2 km of that distance - Sprint speed targets: 25–28 km/h achievable for recreational players CONDITIONING COMPONENTS 1. Aerobic Endurance - Foundation for all soccer actions - Methods: continuous runs at 65–75% HRmax, Yo-Yo Intermittent Recovery Test used for assessment - Recommended: 2 aerobic-focused sessions per week during pre-season 2. Anaerobic Power / High-Intensity Efforts - Soccer involves repeated short bursts (5–15 m) - Training: interval sprints, repeated sprint ability (RSA) drills -"
C0006,S02,Soccer,Training,UEFA Football Performance Program - Conditioning Guidelines,UEFA,"aerobic-focused sessions per week during pre-season 2. Anaerobic Power / High-Intensity Efforts - Soccer involves repeated short bursts (5–15 m) - Training: interval sprints, repeated sprint ability (RSA) drills - RSA protocol: 6–10 x 30m sprints with 30-second recovery 3. Strength and Power - Lower body: squat, single-leg press, hip thrust - Core: planks, rotational strength for kicking and shielding - Upper body: push/pull for physical duels 4. Coordination and Agility - Cone drills, ladder drills, reactive agility with decision trigger (light or sound cue) TRAINING LOAD MANAGEMENT - UEFA recommends monitoring training load using RPE (Rate of Perceived Exertion) scale - Beginner: keep weekly load moderate; avoid sudden spikes (>10% week-to-week increase) - Intermediate: can sustain higher volume; monitor fatigue signs INTEGRATED TRAINING SESSION STRUCTURE A standard UEFA-aligned session follows this flow: 1. Warm-up (FIFA 11+ or UEFA equivalent) — 15 min 2. Technical block — 20 min 3."
C0007,S02,Soccer,Training,UEFA Football Performance Program - Conditioning Guidelines,UEFA,"fatigue signs INTEGRATED TRAINING SESSION STRUCTURE A standard UEFA-aligned session follows this flow: 1. Warm-up (FIFA 11+ or UEFA equivalent) — 15 min 2. Technical block — 20 min 3. Physical conditioning or SSG — 25 min 4. Tactical game or set piece — 15 min 5. Cool-down and stretching — 10 min MENTAL AND TACTICAL COMPONENTS - UEFA emphasizes that physical training alone is insufficient - Position-specific conditioning (e.g., wingers need more sprint training than central defenders) - Decision-making under physical fatigue is a trainable skill PLAYER DEVELOPMENT FRAMEWORK - Beginner stage: Learn basic movement patterns and rules; low-intensity conditioning - Intermediate stage: Build aerobic base; introduce structured conditioning - Advanced stage: Periodized training, sport-science monitoring KEY TAKEAWAYS - Physical fitness and technical skill develop best together - Monitor load and avoid overtraining - Use RSA drills to specifically train repeated sprint ability - Match demands should guide practice"
C0008,S02,Soccer,Training,UEFA Football Performance Program - Conditioning Guidelines,UEFA,Physical fitness and technical skill develop best together - Monitor load and avoid overtraining - Use RSA drills to specifically train repeated sprint ability - Match demands should guide practice design
C0009,S03,Soccer,Nutrition,Pre-match and Match-day Nutrition for Soccer Players,FIFA Medical Assessment and Research Centre,"SOURCE: Pre-match and Match-day Nutrition for Soccer Players (2022) ORGANIZATION: FIFA Medical Assessment and Research Centre (F-MARC) CATEGORY: Soccer - Nutrition ------------------------------------------------------------ OVERVIEW FIFA's F-MARC nutrition guidelines provide evidence-based recommendations for soccer players at all levels. Proper nutrition fuels performance, supports recovery, and reduces injury risk. This document focuses on pre-match, during-match, and post-match nutrition. CARBOHYDRATE REQUIREMENTS - Soccer is a high-intensity, intermittent sport heavily reliant on carbohydrates (glycogen stores) - Total carbohydrate intake on training days: 5–7 g/kg body weight - On match days: 7–10 g/kg body weight (higher demand due to match intensity) - Pre-match meal (3–4 hours before): 1–4 g/kg of low-fiber, easily digestible carbohydrates - Examples: white rice, pasta, bread, bananas, sports drinks - During match (if >60 min): 30–60 g of carbohydrate per hour from drinks or gels - Post-match: 1.0–1.5 g/kg body weight within the first 30–45 minutes PROTEIN REQUIREMENTS - Daily protein: 1.4–1.7"
C0010,S03,Soccer,Nutrition,Pre-match and Match-day Nutrition for Soccer Players,FIFA Medical Assessment and Research Centre,"(if >60 min): 30–60 g of carbohydrate per hour from drinks or gels - Post-match: 1.0–1.5 g/kg body weight within the first 30–45 minutes PROTEIN REQUIREMENTS - Daily protein: 1.4–1.7 g/kg body weight for soccer players - Protein is critical for muscle repair, especially post-match - Post-match protein target: 20–25 g high-quality protein within 2 hours - Examples: chicken breast, Greek yogurt, milk, eggs, whey protein if needed HYDRATION - Pre-match: Drink 5–7 mL/kg body weight in the 2–4 hours before kickoff - During match: Sip 150–250 mL every 15–20 minutes (use half-time and stoppages) - Post-match: Replace 150% of fluid lost (weigh before and after, drink 1.5L per kg of weight lost) FAT AND MICRONUTRIENTS - Fat intake should not be excessive before matches (slows digestion) - Iron, calcium, and vitamin D are commonly insufficient in female soccer players - Antioxidant-rich foods (vegetables, fruits) support recovery COMMON NUTRITION MISTAKES"
C0011,S03,Soccer,Nutrition,Pre-match and Match-day Nutrition for Soccer Players,FIFA Medical Assessment and Research Centre,"not be excessive before matches (slows digestion) - Iron, calcium, and vitamin D are commonly insufficient in female soccer players - Antioxidant-rich foods (vegetables, fruits) support recovery COMMON NUTRITION MISTAKES - Skipping pre-match meal or eating too close to kickoff (< 1 hour) - Relying only on water without carbohydrate replacement during long matches - Not eating within the post-match recovery window - Over-relying on protein while neglecting carbohydrates PRACTICAL SAMPLE MEAL PLAN (Match Day) - 7:00am Breakfast (4 hrs before 11am match): Oatmeal with banana, toast with jam, 500 mL water - 9:30am Pre-match snack: Small granola bar, 250 mL sports drink - During match: 500 mL sports drink at halftime - Post-match: Chocolate milk + chicken sandwich + 750 mL water - Evening: Pasta with lean protein and vegetables KEY TAKEAWAYS - Carbohydrates are the primary fuel for soccer; do not restrict them - Protein supports recovery; eat"
C0012,S03,Soccer,Nutrition,Pre-match and Match-day Nutrition for Soccer Players,FIFA Medical Assessment and Research Centre,"750 mL water - Evening: Pasta with lean protein and vegetables KEY TAKEAWAYS - Carbohydrates are the primary fuel for soccer; do not restrict them - Protein supports recovery; eat some protein after every training or match - Hydration affects performance and cognitive function significantly - Timing matters — eat at the right times, not just the right foods"
C0013,S04,Soccer,Nutrition,Carbohydrate Intake and Soccer Performance - ISSN Review,International Society of Sports Nutrition,"SOURCE: Carbohydrate Intake and Soccer Performance - ISSN Review (2021) ORGANIZATION: International Society of Sports Nutrition (ISSN) CATEGORY: Soccer - Nutrition ------------------------------------------------------------ OVERVIEW The International Society of Sports Nutrition (ISSN) position stand on carbohydrates and exercise performance confirms that carbohydrate availability is one of the most important nutritional factors for intermittent high-intensity sports like soccer. This document summarizes the key ISSN positions as applied to soccer athletes. KEY ISSN POSITIONS ON CARBOHYDRATES 1. Carbohydrates Are Essential for High-Intensity Sport - Muscle glycogen is the primary fuel during high-intensity efforts (sprinting, pressing, defending) - Low glycogen impairs both physical performance and decision-making - Soccer players who start a match with depleted glycogen perform significantly worse in the second half 2. Recommended Daily Carbohydrate Intake for Soccer - Light training day: 3–5 g/kg body weight - Moderate training day: 5–7 g/kg body weight - High-intensity training or match day: 6–10 g/kg body"
